angDist,_RAJ2000,_DEJ2000,recno,RAJ2000,DEJ2000,Name,r_Name,SpT,n_SpT,r_SpT,ID,all,2M,SimbadName,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,Plx (mas),Plx_unc (mas),log (L/Lsun),e_unc (mas),b_Age (Gyr),B_Age (Gyr),Radius (Rjup),Rad_unc (Rjup),log(g) (cm/s^2),log(g)_unc (cm^s^2),Teff (K),Teff_unc (K),Mass (Mjup),Mass_unc (Mjup)
4.802812,11.7515833,68.0650833,15,00 47 00.38,+68 03 54.3,WISEP J004701.06+680352.1,22,L7.5p,,22,0047+6803,all,2M,WISEP J004701.06+680352.1,11.74844782,68.06572207,0.0015474,0.0010277,147.91,529737834613544192,11.74844782,1.1975,68.06572207,1.4201,,,,,,,,,125,12.409,431.6,3.432,6.139E+00,3,,,15,,0,7.95833E+01,8.70541E-01,20.935312,6.29427E+01,8.84079E+00,20.841179,8.40761E+01,19.936214,1.847,0.904964,,,0,,,189670117487159558,,,,0.012192,0.152525,0.083871,20.935312,0.012192,7.95833E+01,0.639,1.1975,1.4201,-0.3542,82,3,-4.44,0.03,0.05,0.12,1.3,0.04,4.24,0.13,1227,30,12.13,2.97
0.30806,14.6772083,-6.8566389,17,00 58 42.53,-06 51 23.9,2MASS J00584253-0651239,14,L0beta,,"14,25",0058-0651,all,2M,2MASS J00584253-0651239,14.67728581,-6.856676331,0.0068267,0.0037157,45.79,2476262466795918080,14.67795552,0.2216,-6.857243536,0.1627,34.5369,0.2817,122.5897,196.647,149.609,0.346,-127.621,0.341,569,5.0873,861.22,1.322,6.684E+00,95,1.2026,0.0362,18,1.155,0,4.46017E+02,9.71244E-01,19.063988,4.84865E+01,5.95625E+00,21.12449,7.9569E+02,17.496037,1.893,3.628454,,,0,,,99770146776791988,1237680243067388118,13809481,,0.003631,0.133405,0.009931,19.038397,0.003595,4.56654E+02,0.321,5.5366,5.4548,0.5428,33.8,4,-3.63,0.1,0.01,0.15,1.43,0.22,4.46,0.43,1864,182,29.23,18.09
0.610014,15.7125,-37.6288333,18,01 02 51.00,-37 37 43.8,LHS 132,26,M8,,27,0102-3737,all,2M,LHS 132,15.7127136,-37.62882362,0.0007354,0.0006317,101.74,4989399774745144448,15.72096234,0.0426,-37.62770936,0.0286,88.2915,0.0558,1582.0309,1491.131,1469.893,0.044,250.773,0.04,504,-2.0313,1777.29,0.399,3.416E+01,31,,,23,0.936,0,1.37915E+04,9.17076E+00,15.338341,4.26794E+02,5.89771E+00,18.762997,2.34047E+04,13.824637,1.728,4.938359,,,0,,,,,9275697,,0.002848,0.015261,0.004132,15.338341,0.002848,1.37915E+04,-0.024,0.7314,0.6363,-0.0607,81.95,2.73,-3.2,0.03,0.5,10,1.17,0.04,5.22,0.07,2636,67,90.28,9.22
0.218621,18.146,17.0654722,21,01 12 35.04,+17 03 55.7,GU Psc b,30,T3.5,,31,0112+1703,all,2M,GU Psc b,18.1460515,17.06543664,0.0005833,0.0003623,78.9,2784120641627589760,18.14649902,0.0213,17.06498885,0.0167,21.0051,0.026,807.2299,139.345,96.259,0.036,-100.753,0.023,218,5.0277,681.48,0.144,1.713E+01,31,,,14,1.252,0,1.23637E+05,1.24308E+02,12.956993,2.53066E+04,1.33678E+02,14.330458,1.50458E+05,11.804355,1.422,2.526103,,,0,,,128470181464788578,1237666090052681750,,536006145,0.002964,0.006378,0.004338,12.956993,0.002964,1.23637E+05,0.011,0.5766,0.3728,0.1836,20.83,2.17,-4.87,0.1,0.05,0.12,1.24,0.04,4.17,0.17,981,57,9.84,2.99
0.170752,19.4478333,-34.0571667,22,01 17 47.48,-34 03 25.8,2MASSI J0117474-340325,32,L2:,,32,0117-3403,all,2M,2MASSI J0117474-340325,19.44788814,-34.05718031,0.0114763,0.0089849,168.27,5014541310703856256,19.44846896,0.4766,-34.05743836,0.4356,25.397,0.7033,36.1105,122.855,108.269,0.58,-58.062,0.714,371,4.4184,559.61,2.85,5.114E+00,95,1.1559,0.1251,22,1.167,0,1.26636E+02,1.10741E+00,20.430973,1.93872E+01,3.53033E+00,22.119755,2.66744E+02,18.682657,2.259,3.437098,,,0,,,67130194484201411,,9989602,,0.009886,0.197728,0.035099,20.405382,0.009674,1.29656E+02,0.715,9.1014,11.3841,-0.098,20,3,-3.48,0.13,0.01,0.04,1.62,0.11,4.26,0.2,1917,159,19.85,7.54
0.060682,25.492625,-46.5659444,23,01 41 58.23,-46 33 57.4,2MASS J01415823-4633574,33,L0gamma,,4,0141-4633,all,2M,2MASS J01415823-4633574,25.49263747,-46.56592989,0.0076217,0.005587,171.29,4954323704550180352,25.49339207,0.2884,-46.56613709,0.3427,27.2881,0.4386,62.2208,125.696,116.73,0.351,-46.621,0.48,427,2.884,562.77,1.738,2.832E+00,95,1.2026,0.0921,28,1.1,0,1.92839E+02,6.99587E-01,19.974379,3.48482E+01,5.87945E+00,21.483091,3.38722E+02,18.423288,1.937,3.059803,,,0,,,,,504107683,,0.004807,0.183202,0.02204,19.948788,0.004732,1.97438E+02,0.447,5.6419,7.5812,-0.094,25,3,-3.48,0.1,0.01,0.04,1.61,0.1,4.25,0.19,1917,130,19.57,7.04
0.057386,32.6607083,-30.2586944,26,02 10 38.57,-30 15 31.3,2MASS J02103857-3015313,34,L0gamma,,35,0210-3015,all,2M,2MASS J02103857-3015313,32.66071167,-30.25871007,0.0096791,0.0072377,126.88,5020037150855496448,32.66123461,0.2777,-30.25890602,0.3503,24.6481,0.4825,51.0865,110.783,101.632,0.555,-44.088,0.508,375,0.9344,452.78,1.063,1.005E+00,95,0.9406,0.0937,20,1.034,0,1.79384E+02,8.20976E-01,20.05291,4.30043E+01,1.52905E+01,21.254763,3.26428E+02,18.463428,2.059,2.791334,,,0,,,71680326610359710,,10969250,,0.005682,0.386052,0.025305,20.030393,0.005593,1.83143E+02,0.61,8.8774,8.2012,-0.2723,32,8,-3.84,0.22,0.01,0.04,1.53,0.09,4.16,0.22,1598,205,14.59,7.03
0.259151,38.503875,-64.7018889,27,02 34 00.93,-64 42 06.8,2MASS J02340093-6442068,3,L0gamma,,4,0234-6442,all,2M,2MASS J02340093-6442068,38.50389902,-64.70196015,0.0119494,0.0103061,6.34,4697085327076101760,38.50481236,0.5914,-64.70198205,0.5244,20.8101,0.6221,33.454,87.954,87.816,0.653,-4.926,0.754,295,3.2003,419.12,2.76,4.251E+00,95,1.0104,0.1421,23,1.135,0,1.52475E+02,9.01595E-01,20.22937,3.44845E+01,1.22088E+01,21.494482,2.848E+02,18.611544,2.094,2.882938,,,0,,,,,,,0.006986,0.3844,0.02665,20.205451,0.006858,1.55871E+02,0.63,10.3277,11.9307,0.0326,21,5,-3.54,0.21,0.01,0.04,1.62,0.11,4.25,0.22,1850,231,19.56,8.49
1.618013,40.2979583,-3.4496389,28,02 41 11.51,-03 26 58.7,2MASS J02411151-0326587,9,L0gamma,,4,0241-0326,all,2M,2MASS J02411151-0326587,40.29836905,-3.449823023,0.0023388,0.0020707,63,2495202104341250432,40.29836905,2.2861,-3.449823023,2.1287,,,,,,,,,54,0.9879,58.69,4.164,1.748E+00,3,,,7,,0,8.36598E+01,1.57542E+00,20.881075,7.7234E+00,4.70693E+00,23.11902,1.64541E+02,19.20721,2.059,3.91181,,,0,,,,1237679255210886054,,,0.020631,0.661695,0.134507,20.881075,0.020631,8.36598E+01,0.45,2.2861,2.1287,0.0982,21.4,2.6,-3.72,0.11,0.01,0.15,1.41,0.21,4.44,0.43,1788,171,27.35,17.05
0.52372,42.1708333,-16.856,30,02 48 41.00,-16 51 21.6,LP 771-21,37,M8,,38,0248-1651,all,2M,LP 771-21,42.17082809,-16.85614539,0.0025132,0.0020515,179.83,5156623295621846016,42.17067428,0.0808,-16.85742916,0.1104,44.6207,0.1262,353.4612,290.741,-33.12,0.128,-288.848,0.154,216,-6.343,491.83,0.642,1.35E+01,95,1.0011,0.0281,14,0.706,0,3.35522E+03,5.72032E+00,16.873064,1.24351E+02,1.06478E+01,20.101921,5.91335E+03,15.318312,1.799,4.783609,,,0,,,87770421706761702,1237667244869091551,14695587,,0.003319,0.09301,0.004852,16.847473,0.003296,3.43524E+03,0.07,2.0515,2.5132,-0.0012,61.6,5.4,-3.46,0.08,0.5,10,1.08,0.06,5.22,0.11,2365,125,78.26,12.51
