angDist,_RAJ2000,_DEJ2000,recno,RAJ2000,DEJ2000,Name,r_Name,SpT,n_SpT,r_SpT,ID,all,2M,SimbadName,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,Plx (mas),Plx_unc (mas),log (L/Lsun),e_unc (mas),b_Age (Gyr),B_Age (Gyr),Radius (Rjup),Rad_unc (Rjup),log(g) (cm/s^2),log(g)_unc (cm^s^2),Teff (K),Teff_unc (K),Mass (Mjup),Mass_unc (Mjup)
0.935361,43.2535,16.8814444,32,02 53 00.84,+16 52 53.2,2MASS J02530084+1652532,41,M7,,42,0253+1652,all,2M,2MASS J02530084+1652532,43.25371581,16.88128672,0.0015712,0.0011271,51.08,35227046884571776,43.26964248,0.0746,16.86437382,0.077,260.9884,0.0934,2793.5095,5122.573,3429.083,0.088,-3805.541,0.083,167,5.2685,5500.65,0.561,2.83E+02,31,,,13,1.304,0,2.34264E+05,2.72166E+02,12.263103,1.01851E+04,3.20432E+01,15.31863,3.82919E+05,10.790128,1.678,4.528503,,,0,,,128240432663651927,,,535015084,0.00303,0.004411,0.004117,12.263103,0.00303,2.34264E+05,-0.016,1.4127,1.3204,0.314,268,37,-3.15,0.12,0.5,10,1.2,0.09,5.22,0.07,2688,212,93.64,14.47
0.287805,43.4991667,32.1103611,33,02 53 59.80,+32 06 37.3,2MASS J02535980+3206373,32,M7beta,,43,0253+3206,all,2M,2MASS J02535980+3206373,43.49923829,32.110309,0.002576,0.0019099,64.77,136316974871839488,43.49972428,0.1218,32.10986565,0.1093,20.2709,0.1338,151.4976,136.123,92.619,0.153,-99.756,0.131,183,-3.0645,278.85,0.527,4.145E+00,95,1.0665,0.0322,14,0.84,0,1.96364E+03,3.75272E+00,17.454712,1.18044E+02,6.72266E+00,20.15843,3.18032E+03,15.99172,1.68,4.16671,,,0,,,146530434995932594,1237670959479849354,,611028076,0.003449,0.061896,0.00549,17.429121,0.00342,2.01047E+03,0.037,2.4683,2.0471,0.228,17.7,2.5,-2.79,0.12,0.01,0.15,1.9,0.45,4.49,0.52,2628,362,65.1,47.55
1.335524,43.764875,-47.0141389,35,02 55 03.57,-47 00 50.9,DENIS-P J0255-4700,46,L8,,47,0255-4700,all,2M,DENIS J0255.0-4700,43.76538628,-47.01426581,0.0039349,0.0028397,163.58,4752399493622045696,43.77198593,0.1547,-47.01672836,0.167,205.4251,0.1857,1106.1012,1154.121,1012.445,0.182,-554.031,0.241,385,3.2934,791.86,1.4,1.173E+01,95,0.9507,0.0456,28,1.121,0,6.8482E+02,1.69019E+00,18.598427,2.71688E+01,4.51464E+00,21.753365,1.40325E+03,16.880054,2.089,4.87331,,,0,,,,,504473820,,0.003844,0.180438,0.011227,18.572836,0.0038,7.01153E+02,0.346,2.9422,3.8588,-0.1772,201.37,3.89,-4.61,0.02,0.5,10,0.97,0.12,5.09,0.4,1290,78,49.92,24.8
0.582357,49.725125,-34.3581111,36,03 18 54.03,-34 21 29.2,2MASS J03185403-3421292,47,L7,,47,0318-3421,all,2M,2MASS J03185403-3421292,49.72531704,-34.35807891,0.0360506,0.0251144,31.74,5053399803976245760,49.72741838,1.3924,-34.35793562,1.5507,70.9812,1.8485,38.3997,391.64,390.31,1.811,32.245,2.112,151,4.5239,253.92,7.19,9.598E+00,95,1.507,0.3591,15,1.275,0,7.70437E+01,9.79281E-01,20.970524,3.49614E+01,1.24144E+01,21.47957,1.54366E+02,19.276514,2.457,2.203056,,,0,,,,,17179073,,0.014073,0.385544,0.152738,20.95814,0.013919,7.79275E+01,1.094,28.5626,33.385,0.3138,72.9,7.7,-4.54,0.09,0.5,10,0.97,0.12,5.05,0.36,1344,107,48.98,24.02
1.020245,50.2485417,18.9064722,37,03 20 59.65,+18 54 23.3,2MASS J03205965+1854233,8,M8,,8,0320+1854,all,2M,2MASS J03205965+1854233,50.24879782,18.90632521,0.0015795,0.0011248,60.61,56252256123908096,50.25045284,0.0709,18.90518268,0.0603,68.2694,0.0778,877.1166,436.112,352.29,0.092,-257.07,0.079,188,-0.2051,496.96,0.456,1.349E+01,31,,,14,0.987,0,6.80782E+03,9.94495E+00,16.104847,2.81001E+02,1.62372E+01,19.216772,1.1702E+04,14.577244,1.76,4.639528,,,0,,,130680502497557341,1237673285199003866,,545020191,0.003179,0.0628,0.006649,16.104847,0.003179,6.80782E+03,0.051,1.4827,1.2495,0.2838,68.9,0.6,-3.25,0.01,0.5,10,1.15,0.04,5.22,0.07,2586,42,87.6,8.11
0.152833,50.79175,-46.52325,38,03 23 10.02,-46 31 23.7,2MASS J03231002-4631237,48,L0gamma,,4,0323-4631,all,2M,2MASS J03231002-4631237,50.79171037,-46.52321746,0.0168931,0.0102175,137.22,4846216555917018624,50.79226295,0.6814,-46.52325001,0.6016,23.4134,0.6966,33.6106,85.859,85.546,0.875,-7.323,0.892,304,3.7347,456.81,3.39,4.346E+00,95,1.1009,0.1648,23,1.156,0,1.15686E+02,1.18422E+00,20.529163,2.61253E+01,4.32865E+00,21.795887,2.03949E+02,18.974092,1.989,2.821795,,,0,,,,,504387534,,0.011451,0.179915,0.050637,20.506171,0.011225,1.18162E+02,0.534,13.7071,14.2087,-0.4632,17,3,-3.34,0.15,0.01,0.04,1.66,0.15,4.29,0.24,2039,203,23.11,9.97
0.409686,53.55075,-49.8922778,42,03 34 12.18,-49 53 32.2,2MASS J03341218-4953322,50,M9,,51,0334-4953,all,2M,2MASS J03341218-4953322,53.55091031,-49.89223,0.0013221,0.0008791,166.83,4736655036868019072,53.56719574,0.0464,-49.89008391,0.0521,112.61,0.0557,2020.9392,2409.524,2360.592,0.057,483.128,0.081,359,0.1476,1344.83,0.531,3.334E+01,31,,,27,1.005,0,8.71147E+03,9.2735E+00,15.837138,2.21228E+02,1.02692E+01,19.476444,1.52547E+04,14.289389,1.776,5.187056,,,0,,,,,504322204,,0.002988,0.050476,0.004317,15.837138,0.002988,8.71147E+03,-0.01,0.9074,1.3028,-0.1829,120.6,3.6,-3.64,0.03,0.5,10,1.04,0.06,5.22,0.13,2173,71,72.89,11.87
0.533419,54.89675,-35.4288889,43,03 39 35.22,-35 25 44.0,LP 944-20,37,M9beta,,"32,16",0339-3525,all,2M,LP 944-20,54.89688479,-35.42878944,0.001088,0.0007082,154.82,4860376345833699840,54.89857021,0.0375,-35.42759364,0.0436,155.5982,0.0522,2980.7097,409.724,309.001,0.05,269.058,0.064,451,-0.0165,2084.06,0.496,4.306E+01,31,,,28,0.999,0,1.25637E+04,1.06167E+01,15.439572,3.61036E+02,5.87376E+00,18.944666,2.20898E+04,13.887415,1.787,5.057251,,,0,,,,,17431730,,0.002904,0.017883,0.004253,15.439572,0.002904,1.25637E+04,0.019,0.7906,1.0296,-0.3227,155.89,1.03,-3.56,0.01,0.01,0.15,1.43,0.21,4.48,0.41,1942,144,29.53,16.87
0.064121,56.4298333,25.6731389,44,03 45 43.16,+25 40 23.3,2MASP J0345432+254023,38,L0,,52,0345+2540,all,2M,2MASP J0345432+254023,56.42984005,25.67312216,0.0059687,0.0033786,90.64,69927191475070080,56.42936979,0.2476,25.67293852,0.1632,37.8948,0.2637,143.6804,103.93,-95.363,0.37,-41.319,0.215,226,-1.3102,282.72,0.805,2.376E+00,95,1.0268,0.0564,15,0.937,0,5.7473E+02,1.61108E+00,18.788708,6.24797E+01,1.64173E+01,20.849195,1.02651E+03,17.219488,1.895,3.629707,,,0,,,138800564293658137,,,579030628,0.004105,0.285305,0.013648,18.763117,0.004053,5.88437E+02,0.323,5.9684,3.379,-0.0133,37.1,0.5,-3.6,0.01,0.5,10,1.05,0.05,5.22,0.12,2213,60,74.14,11.27
0.335155,57.7501667,-0.8792222,45,03 51 00.04,-00 52 45.2,2MASS J03510004-0052452,26,M8,,40,0351-0052,all,2M,2MASS J03510004-0052452,57.75011447,-0.87914513,0.001076,0.0007985,65.24,3257243312560240000,57.7501633,0.0564,-0.881233858,0.0426,68.1218,0.068,1001.2957,470.092,10.986,0.064,-469.964,0.054,298,5.979,1491.93,0.437,3.326E+01,31,,,17,1.256,0,1.41157E+04,9.22099E+00,15.313112,6.6236E+02,7.20669E+00,18.285807,2.30397E+04,13.841703,1.679,4.444103,,,0,,,106940577502153823,1237666299485094048,,446007888,0.002845,0.012138,0.004092,15.313112,0.002845,1.41157E+04,-0.003,1.0328,0.8537,0.2244,68.1,1.9,-3.02,0.02,0.5,10,1.27,0.04,5.19,0.05,2810,60,101.58,8.57
0.110421,58.847375,11.5621389,46,03 55 23.37,+11 33 43.7,2MASS J03552337+1133437,48,0355-typegamma,a,34,0355+1133,all,2M,2MASS J03552337+1133437,58.84738996,11.56216584,0.0098131,0.0054551,78.02,3303349202364648320,58.84840243,0.4645,11.55936005,0.2903,109.1381,0.4833,225.8033,669.593,223.182,0.594,-631.303,0.366,319,5.1235,509.48,2.185,6.695E+00,95,1.2151,0.0841,17,1.21,0,2.82276E+02,9.79482E-01,19.560682,3.29816E+01,4.9647E+00,21.542862,5.15396E+02,17.967545,1.943,3.575317,,,0,,,121870588479752987,1237673327076901196,,,0.004667,0.163459,0.021612,19.535091,0.004597,2.89008E+02,0.379,9.666,5.7117,0.2447,110.8,4.3,-4.1,0.03,0.05,0.12,1.32,0.09,4.45,0.21,1478,57,19.98,7.76
0.125775,59.3622917,-44.2918056,47,03 57 26.95,-44 17 30.5,DENIS-P J035726.9-441730,53,L0beta,,4,0357-4417,all,2M,DENIS-P J035726.9-441730,59.36233884,-44.29181466,0.0067046,0.0048755,179.55,4841448081361281920,59.362815,0.2296,-44.29181899,0.3053,21.2769,0.2888,73.6836,76.694,76.688,0.305,-0.973,0.412,348,3.9668,577.9,1.988,7.972E+00,95,1.0217,0.0877,27,1.154,0,3.36022E+02,1.02946E+00,19.371449,4.70726E+01,9.70628E+00,21.156622,6.05399E+02,17.792791,1.942,3.363831,,,0,,,,,504597742,,0.004319,0.223894,0.01468,19.345858,0.00426,3.44036E+02,0.408,4.8757,6.7045,-0.0051,18,5,-3.09,0.24,0.01,0.04,,,,,,,,
0.259394,65.9524167,-4.2343056,49,04 23 48.58,-04 14 03.5,SDSSp J042348.57-041403.5,28,L7.5,,32,0423-0414,all,2M,SDSSp J042348.57-041403.5,65.95240159,-4.23423514,0.0159231,0.0103583,67.99,3203124697405667712,65.95088654,0.7,-4.233918172,0.5746,70.1502,0.9336,75.1434,347.356,-339.956,0.955,71.318,0.724,526,17.0764,1484.17,6.679,2.754E+01,95,0.795,0.1732,20,1.573,0,1.73308E+02,1.16202E+00,20.09032,3.66697E+01,4.80555E+00,21.427774,4.26685E+02,18.172626,2.674,3.255148,,,0,,,102910659513339603,1237649963535958574,24831543,,0.007784,0.142313,0.016436,20.064729,0.007625,1.77441E+02,1.155,15.2643,11.3066,0.2945,65.9,1.7,-4.18,0.02,0.5,10,,,,,,,,
0.201035,67.2123333,-22.8896389,50,04 28 50.96,-22 53 22.7,2MASSI J0428510-225323,54,L0.5,,54,0428-2253,all,2M,2MASSI J0428510-225323,67.2123782,-22.88960139,0.0058097,0.003638,139.33,4898159654173165824,67.21295644,0.1981,-22.88892537,0.2156,39.3977,0.3266,120.6124,193.654,119.858,0.286,152.105,0.309,734,25.0684,2679.52,2.112,3.507E+01,95,0.9749,0.0472,23,1.724,1,6.12989E+02,1.30921E+00,18.718735,4.66768E+01,5.17773E+00,21.165789,1.49628E+03,16.810362,2.517,4.355427,,,0,,,80530672127203339,,22404889,,0.003601,0.12047,0.006102,18.693144,0.003567,6.27609E+02,0.847,4.6851,5.0037,-0.4326,38.48,1.85,-3.43,0.04,0.5,10,1.09,0.05,5.22,0.1,2400,83,79.61,11.15
0.393158,68.8172083,-16.1159722,51,04 35 16.13,-16 06 57.5,2MASS J04351612-1606574,37,M7,,27,0435-1606,all,2M,2MASS J04351612-1606574,68.81728611,-16.11589258,0.0029652,0.0024361,132.04,3171631420210205056,68.8180267,0.1425,-16.11449197,0.1303,94.3054,0.2099,449.3914,353.468,160.083,0.172,315.14,0.168,470,98.8273,83564.64,1.99,1.583E+03,31,,,25,5.617,0,2.70589E+04,1.79029E+01,14.606592,9.27105E+02,9.81838E+00,17.92072,4.56499E+04,13.099297,1.721,4.821423,,,0,,,88660688179492862,,22826413,,0.002847,0.011832,0.003946,14.606592,0.002847,2.70589E+04,-0.014,2.7406,2.6863,-0.193,95.35,1.06,-3.04,0.01,0.5,10,1.26,0.03,5.19,0.05,2795,39,100.44,7.63
0.095203,69.1161667,-41.24625,52,04 36 27.88,-41 14 46.5,2MASS J04362788-4114465,55,M8betagamma,,"47,16",0436-4114,all,2M,2MASS J04362788-4114465,69.11619713,-41.24623673,0.0021175,0.0015371,155.47,4815936868977501568,69.11657486,0.0798,-41.24619229,0.0896,25.3437,0.0953,265.9326,64.68,63.903,0.103,9.999,0.125,385,-1.5454,863.05,0.762,1.276E+01,95,1.0217,0.0245,28,0.944,0,1.75183E+03,2.42462E+00,17.578638,5.50156E+01,6.32084E+00,20.987328,3.16739E+03,15.996141,1.839,4.991187,,,0,,,,,18252423,,0.003138,0.124773,0.00514,17.553047,0.003122,1.79361E+03,0.08,1.6518,2.0294,-0.239,23,6,-2.88,0.23,0.01,0.04,1.97,0.39,4.3,0.33,2445,403,39,23.17
0.207523,69.7542083,-23.8856389,53,04 39 01.01,-23 53 08.3,2MASSI J0439010-235308,32,L6.5,,32,0439-2353,all,2M,2MASSI J0439010-235308,69.75418685,-23.88569311,0.0062475,0.0037284,166.6,4894945708668731264,69.75363654,0.1822,-23.88637247,0.277,80.7266,0.3582,225.3567,190.218,-113.216,0.244,-152.857,0.378,671,5.9178,1059.27,2.038,8.713E+00,95,1.1066,0.0499,26,1.166,0,2.86557E+02,7.74625E-01,19.54434,4.48981E+01,5.02022E+00,21.207972,5.30352E+02,17.936485,2.007,3.271486,,,0,,,79330697537706957,,22495494,,0.004026,0.121432,0.014262,19.518749,0.003976,2.93391E+02,0.487,3.9051,6.1386,-0.2363,110.4,4,-4.61,0.03,0.5,10,0.97,0.12,5.04,0.37,1290,82,48.01,23.41
3.382967,70.9067083,-0.03475,54,04 43 37.61,-00 02 05.1,2MASS J04433764+0002040,29,M9gamma,,"47,16",0443+0002,all,2M,2MASSI J0443376+000205,70.90660728,-0.035684267,0.0063429,0.0050323,98.93,3230007099572722304,70.90661639,0.2629,-0.03569273,0.1549,0.0679,0.3102,0.219,2.798,2.049,0.398,-1.904,0.32,380,0.2135,393.94,0,0E+00,95,1.5072,0.0578,19,1.007,0,3.52895E+02,8.63023E-01,19.318254,1.10889E+02,5.60861E+00,20.226316,3.2053E+02,18.483225,1.223,1.743092,,,0,,,107950709067647667,1237646586632012121,25331967,,0.003826,0.054986,0.022154,19.313675,0.003819,3.54386E+02,-0.078,6.3145,5.0679,-0.0715,40,4,-3.13,0.09,0.012,0.022,1.78,0.12,4.19,0.13,2230,134,21.99,5.76
0.418782,71.4744583,-30.8056667,55,04 45 53.87,-30 48 20.4,2MASSI J0445538-304820,32,L2,,32,0445-3048,all,2M,2MASSI J0445538-304820,71.47456727,-30.80573579,0.0029205,0.0019279,137.49,4878035808244168832,71.47540368,0.1042,-30.80759816,0.1206,61.9364,0.1482,417.9345,449.128,161.641,0.152,-419.033,0.156,391,-1.6405,653.2,0.849,7.113E+00,95,1.0059,0.0324,27,0.941,0,9.29672E+02,1.75055E+00,18.266542,3.88327E+01,5.17504E+00,21.365547,1.68836E+03,16.679232,1.858,4.686316,,,0,,,71030714752621429,,19329658,,0.003431,0.144718,0.007839,18.240951,0.003403,9.51845E+02,0.142,2.432,2.5163,-0.3917,78.5,4.9,-3.99,0.05,0.5,10,1,0.08,5.19,0.2,1809,90,63.8,15
0.209578,72.753875,-34.0375,56,04 51 00.93,-34 02 15.0,2MASSI J0451009-340214,32,L0.5,,32,0451-3402,all,2M,2MASSI J0451009-340214,72.75393827,-34.03747469,0.0028799,0.0021786,151.76,4873243032763432064,72.75445982,0.1118,-34.03686215,0.1241,45.9192,0.1423,322.6969,168.675,97.244,0.147,137.822,0.17,410,1.2995,659.36,0.904,6.482E+00,95,1.0675,0.0393,30,1.045,0,7.83869E+02,1.39787E+00,18.45176,3.38964E+01,5.2845E+00,21.513159,1.46072E+03,16.836477,1.907,4.676682,,,0,,,,,19291344,,0.003368,0.169291,0.007656,18.426169,0.003342,8.02564E+02,0.192,2.3539,2.7385,-0.2294,47.46,1.51,-3.66,0.03,0.5,10,1.04,0.06,5.22,0.13,2155,72,72.38,12
0.175321,75.0875,3.5139167,57,05 00 21.00,+03 30 50.1,2MASS J05002100+0330501,48,L4,,48,0500+0330,all,2M,2MASS J05002100+0330501,75.08754852,3.513911561,0.005082,0.0040825,90.85,3238449635184620672,75.08759875,0.2322,3.512347593,0.1118,75.6081,0.2907,260.0772,352.074,11.281,0.32,-351.893,0.255,562,0.3334,835.38,1.178,6.51E+00,95,0.9536,0.0444,19,1.009,0,5.0172E+02,1.22667E+00,18.936213,3.12135E+01,3.94978E+00,21.602688,9.69776E+02,17.281218,1.995,4.32147,,,0,,,112210750875785772,,,,0.003826,0.137418,0.007929,18.910622,0.003783,5.13686E+02,0.33,5.0818,4.0828,-0.0065,73.85,1.98,-4.01,0.02,0.5,10,1,0.08,5.2,0.19,1793,72,63.68,14.44
0.228612,75.35025,-0.1792222,58,05 01 24.06,-00 10 45.2,2MASS J05012406-0010452,48,L4gamma,,4,0501-0010,all,2M,2MASS J05012406-0010452,75.35018688,-0.179215187,0.00119,0.0007664,76.4,3228124602522662528,75.35018688,1.1706,-0.179215187,0.7957,,,,,,,,,179,2.3309,220.42,2.924,2.743E+00,3,,,12,,0,7.86834E+01,7.82441E-01,20.947659,3.75183E+01,7.07659E+00,21.402933,9.36213E+01,19.819458,1.667,1.583475,,,0,,,107780753501615399,1237646586633978810,,,0.011143,0.204807,0.163973,20.947659,0.011143,7.86834E+01,0.386,1.1706,0.7957,0.2034,51,3.7,-3.97,0.06,0.01,0.15,1.38,0.18,4.36,0.41,1560,118,21.44,13.7
0.189677,80.90925,-14.0506111,60,05 23 38.22,-14 03 02.2,2MASSI J0523382-140302,32,L2.5,,32,0523-1403,all,2M,2MASSI J0523382-140302,80.9092651,-14.05056049,0.0024691,0.0020623,138.22,2985035874544160384,80.90975754,0.0976,-14.04984285,0.1003,78.5273,0.1469,534.6233,193.971,107.484,0.14,161.468,0.141,481,-2.2454,884.52,0.928,1.178E+01,95,0.9788,0.029,23,0.927,0,1.12713E+03,1.58605E+00,18.057432,4.24896E+01,5.60393E+00,21.267834,2.02943E+03,16.47946,1.838,4.788374,,,0,,,91140809095680204,,23823877,380003356,0.003151,0.143224,0.006801,18.031841,0.003133,1.15401E+03,0.108,2.252,2.2974,-0.177,80.95,1.76,-3.86,0.02,0.5,10,1.01,0.07,5.21,0.16,1939,68,67.54,12.79
0.41331,84.9666667,-0.9838611,61,05 39 52.00,-00 59 01.9,SDSS J053951.99-005902.0,57,L5,,57,0539-0058,all,2M,SDSS J053951.99-005902.0,84.96668349,-0.983747526,0.0060084,0.0044028,124.98,3217523558083415040,84.96740405,0.2851,-0.98231541,0.2828,78.9451,0.3603,219.104,360.703,162.102,0.339,322.226,0.298,381,4.7162,690.16,1.692,8.249E+00,95,1.0182,0.0648,21,1.176,0,4.094E+02,1.06807E+00,19.156998,2.98196E+01,6.10018E+00,21.652287,7.70395E+02,17.53111,1.955,4.121176,,,0,,,106820849671331003,1237666406868976410,27824617,,0.003952,0.222126,0.014763,19.131407,0.003905,4.19164E+02,0.318,5.5324,4.9878,-0.2845,76.12,2.17,-4.15,0.02,0.5,10,0.99,0.08,5.18,0.22,1659,74,60.74,15.43
0.798954,89.82975,-14.0802222,62,05 59 19.14,-14 04 48.8,2MASS J05591914-1404488,58,T4.5,,2,0559-1404,all,2M,2MASS J05591914-1404488,89.82994689,-14.08033525,0.0114229,0.0098699,18.03,2997171394834174976,89.83256484,0.4973,-14.08183823,0.5906,95.2714,0.7179,132.7116,663.918,571.34,0.618,-338.167,0.682,319,7.2744,603.96,3.441,1.26E+01,95,0.8526,0.1491,21,1.303,0,1.63243E+02,1.26972E+00,20.15528,3.63795E+01,8.6245E+00,21.436401,3.62825E+02,18.348654,2.445,3.087748,,,0,,,91100898315732803,,24289580,,0.008883,0.257411,0.023848,20.129689,0.008696,1.67137E+02,0.952,10.0292,11.2833,0.086,96.6,1,-4.59,0.01,0.5,10,0.97,0.11,5.09,0.39,1301,75,50.44,24.33
0.641627,90.626875,39.1831111,63,06 02 30.45,+39 10 59.2,LSR 0602+3910,59,L1beta,,35,0602+3910,all,2M,LSR J0602+3910,90.62694463,39.18294124,0.0027124,0.0014954,118.56,3457493517036545280,90.6278481,0.1304,39.18069055,0.1119,85.7574,0.1262,679.5921,530.353,157.57,0.151,-506.405,0.11,278,-0.3953,623.56,0.75,1.462E+01,95,1.0783,0.0252,17,0.982,0,2.35336E+03,2.92571E+00,17.258146,6.54857E+01,6.74144E+00,20.798176,4.31523E+03,15.660386,1.861,5.13779,,,0,,,155010906274808462,,,646147787,0.003068,0.111806,0.00571,17.232555,0.003054,2.40949E+03,0.082,2.4873,1.8457,-0.4684,88.5,1.6,-3.65,0.02,0.01,0.15,1.41,0.2,4.46,0.41,1854,134,27.61,15.84
0.053045,92.220125,-27.8995278,64,06 08 52.83,-27 53 58.3,2MASS J06085283-2753583,32,M8.5gamma,,60,0608-2753,all,2M,2MASS J06085283-2753583,92.22014097,-27.89953202,0.0026438,0.0024731,174.89,2898019875782441856,92.22020338,0.108,-27.89950441,0.1232,22.6234,0.157,144.0756,13.876,12.409,0.155,6.212,0.164,423,0.5208,611,0.816,4.802E+00,95,1.0835,0.0324,27,1.017,0,7.31766E+02,1.23121E+00,18.526438,4.07898E+01,7.49006E+00,21.312164,1.37629E+03,16.901123,1.937,4.411041,,,0,,,74520922201690864,,32665093,,0.003306,0.199389,0.006896,18.500847,0.003283,7.49218E+02,0.259,2.4745,2.6425,-0.0119,32,3.6,-3.34,0.1,0.01,0.15,1.51,0.27,4.51,0.46,2145,228,37.8,24.23
0.842809,94.8039167,-58.0558056,67,06 19 12.94,-58 03 20.9,AB Pic b,123,L1beta gamma,,34,0619-5803b,all,2M,AB Pic b,94.8041617,-58.05561065,0.0063877,0.0024501,133.34,5495052596695849088,94.8041617,4.941,-58.05561065,4.732,,,,,,,,,63,4.6234,122.31,11.403,6.422E+00,3,,,9,,0,1.17713E+02,3.2249E+00,20.510303,,,,,,,,,,0,,,,,,,0.029872,,,20.510303,0.029872,1.17713E+02,,4.941,4.732,-0.7429,21.71,0.69,-3.75,0.05,0.01,0.04,1.55,0.05,4.19,0.17,1674,53,15.31,4.7
0.067849,96.1914583,-45.3652222,68,06 24 45.95,-45 21 54.8,2MASS J06244595-4521548,48,L5,,60,0624-4521,all,2M,2MASS J06244595-4521548,96.1914372,-45.36521056,0.0082626,0.0068802,2.75,5556620540565785600,96.19120979,0.3122,-45.3635282,0.3951,82.0248,0.3583,228.8977,380.234,-35.95,0.427,378.531,0.508,356,2.5545,480.7,2.203,4.36E+00,95,1.1332,0.1034,28,1.097,0,2.21998E+02,8.84118E-01,19.821495,3.41727E+01,3.59466E+00,21.504343,4.08065E+02,18.221071,1.992,3.283272,,,0,,,,,473050095,,0.005127,0.114244,0.021643,19.795904,0.005043,2.27293E+02,0.47,6.8837,8.2597,0.0176,83.9,4.5,-4.33,0.05,0.5,10,0.99,0.1,5.14,0.27,1501,85,56.04,18.52
0.472268,100.3266667,-43.3758056,69,06 41 18.40,-43 22 32.9,2MASS J06411840-4322329,48,L1.5,,48,0641-4322,all,2M,2MASS J06411840-4322329,100.326756,-43.3756916,0.003063,0.0027784,16.31,5557113083119380224,100.3280495,0.1424,-43.37288286,0.1477,51.1675,0.1559,328.2056,666.437,211.554,0.175,631.968,0.189,330,4.208,574.04,1.143,9.674E+00,95,1.1343,0.0488,28,1.169,0,7.11581E+02,1.32011E+00,18.556807,3.99761E+01,7.20767E+00,21.334042,1.28463E+03,16.975948,1.862,4.358093,,,0,,,,,28444741,,0.003413,0.195778,0.00748,18.531216,0.003386,7.28552E+02,0.191,2.8019,3.0415,0.0526,55.7,5.7,-3.87,0.09,0.5,10,1.01,0.07,5.2,0.18,1927,120,66.67,14.68
0.099243,103.082375,-25.5806944,70,06 52 19.77,-25 34 50.5,DENIS-P J0652197-253450,62,L0,,62,0652-2534,all,2M,DENIS-P J0652197-253450,103.0823467,-25.58068406,0.001447,0.0011025,10.17,2920995300823950720,103.0811859,0.0508,-25.58029333,0.0748,62.2553,0.0938,663.5809,251.438,-235.567,0.069,87.915,0.088,511,-2.5532,756.29,0.485,6.266E+00,31,,,27,0.92,0,2.00091E+03,1.92815E+00,17.434298,7.58177E+01,6.56795E+00,20.639114,3.54042E+03,15.875258,1.807,4.763857,,,0,,,77301030816103764,,48889601,,0.002947,0.094097,0.00496,17.434298,0.002947,2.00091E+03,0.08,1.1149,1.4375,0.0953,63.76,0.94,-3.59,0.01,0.5,10,1.05,0.05,5.22,0.12,2231,60,74.67,11.18
1.554874,105.1526667,31.9573889,71,07 00 36.64,+31 57 26.6,2MASS J07003664+3157266,63,L3.5:,,64,0700+3157,all,2M,2MASS J07003664+3157266,105.1530139,31.95707302,0.0058659,0.0047675,97.08,890663968222557440,105.1534681,0.3112,31.95462985,0.2806,89.0182,0.3676,242.1412,556.51,86.704,0.365,-549.714,0.295,217,18.0972,1295.29,2.588,5.229E+01,31,,,16,1.995,0,1.0416E+03,4.95361E+00,18.14311,4.29773E+01,8.74868E+00,21.255444,2.27825E+03,16.353895,2.229,4.901548,,,0,,,146341051533596926,,,610153712,0.005853,0.221036,0.008244,18.14311,0.005853,1.0416E+03,0.482,5.8507,4.7861,-0.051,82,2,-3.79,0.02,0.5,10,,,,,,,,
0.133018,106.9719583,-49.0139722,72,07 07 53.27,-49 00 50.3,2MASS J07075327-4900503,65,M9,,65,0707-4900,all,2M,2MASS J07075327-4900503,106.9720146,-49.01397214,0.0023455,0.0020876,42.04,5508545421138819968,106.9719079,0.1027,-49.01220608,0.1,41.6863,0.1138,366.3246,397.675,-15.747,0.137,397.363,0.138,303,2.048,565.45,0.779,9.583E+00,95,1.118,0.0296,23,1.084,0,1.49488E+03,2.78888E+00,17.750853,5.48866E+01,7.94542E+00,20.989876,2.70735E+03,16.166534,1.848,4.823341,,,0,,,,,470584529,,0.00342,0.157196,0.005412,17.725262,0.003392,1.53053E+03,0.112,2.207,2.2335,0.1154,54.1,4.5,-3.66,0.07,0.5,10,1.03,0.07,5.22,0.14,2151,114,72.07,13.3
