# cles-19.1 
# date: April 2020
# Models with Teff >= 2000.0K
# input physics: EOS = GF.AGSS09; OPAC = OPAL.AGSS09; ATMOS = BT-Settl(BC at tau=100).AGSS099
# aconv = 2.0; diff = 0
# nuclear reactionsin pp-chain: Ad2011 
# exceptions: NACRE2 >>  Li7 + H1 -> 2He4 
# metallicity: Fe/H_star = -0.40 ([Fe/H]_sun = 0.0181)
# X = 7.3669E-01   Y = 2.580E-01   Z = 5.3084E-03 
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.080,5.00E+06,3.50426,-1.76227,0.736647,1383650.0,4.07517,0.429531
0.085,5.00E+06,3.50684,-1.72534,0.736647,1427860.0,4.07487,0.442901
0.090,5.00E+06,3.50949,-1.68548,0.736647,1464280.0,4.07043,0.45808
0.095,5.00E+06,3.51199,-1.65522,0.736647,1511140.0,4.07365,0.468891
0.100,5.00E+06,3.51437,-1.6189,0.736647,1544540.0,4.06914,0.483573
0.110,5.00E+06,3.51851,-1.55717,0.736647,1615960.0,4.06536,0.509392
0.120,5.00E+06,3.52224,-1.50967,0.736647,1699310.0,4.07057,0.528859
0.130,5.00E+06,3.52572,-1.45634,0.736647,1761640.0,4.06592,0.553408
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 6.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,6.00E+06,3.48719,-2.04856,0.736647,1196050.0,4.13043,0.334197
0.060,6.00E+06,3.49148,-1.99392,0.736647,1255040.0,4.13076,0.348922
0.065,6.00E+06,3.4949,-1.94907,0.736647,1315630.0,4.13436,0.361668
0.070,6.00E+06,3.498,-1.90041,0.736647,1363710.0,4.13027,0.377094
0.075,6.00E+06,3.50066,-1.86773,0.736647,1426550.0,4.1382,0.386781
0.080,6.00E+06,3.50334,-1.82845,0.736647,1475730.0,4.13767,0.399709
0.085,6.00E+06,3.50603,-1.79098,0.736647,1523380.0,4.13729,0.412193
0.090,6.00E+06,3.50887,-1.75123,0.736647,1564230.0,4.1337,0.425897
0.095,6.00E+06,3.51165,-1.71921,0.736647,1613740.0,4.1363,0.436258
0.100,6.00E+06,3.5143,-1.68273,0.736647,1651420.0,4.13268,0.449462
0.110,6.00E+06,3.51872,-1.62037,0.736647,1729560.0,4.1294,0.473186
0.120,6.00E+06,3.5225,-1.57132,0.736647,1816840.0,4.13325,0.492038
0.130,6.00E+06,3.52598,-1.51858,0.736647,1885300.0,4.12919,0.514527
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 7.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,7.00E+06,3.48585,-2.10666,0.736647,1258480.0,4.1832,0.314496
0.060,7.00E+06,3.49041,-2.05109,0.736647,1321830.0,4.18365,0.32831
0.065,7.00E+06,3.49407,-2.00461,0.736647,1385650.0,4.18656,0.340575
0.070,7.00E+06,3.49727,-1.95604,0.736647,1437950.0,4.18298,0.354891
0.075,7.00E+06,3.50008,-1.92122,0.736647,1502560.0,4.18936,0.364659
0.080,7.00E+06,3.50283,-1.88156,0.736647,1554940.0,4.18874,0.376883
