# cles-19.1 
# date: April 2020
# Models with Teff >= 2000.0K
# input physics: EOS = GF.AGSS09; OPAC = OPAL.AGSS09; ATMOS = BT-Settl(BC at tau=100).AGSS099
# aconv = 2.0; diff = 0
# nuclear reactionsin pp-chain: Ad2011 
# exceptions: NACRE2 >>  Li7 + H1 -> 2He4 
# metallicity: Fe/H_star = +0.00 ([Fe/H]_sun = 0.0181)
# X = 7.2881E-01   Y = 2.580E-01   Z = 1.3191E-02 
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.00E+06
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.065,1.50E+08,3.41875,-3.10132,0.728956,2635660.0,4.98201,0.136298
0.070,1.50E+08,3.42973,-3.03467,0.728956,2839930.0,4.99145,0.139912
0.075,1.50E+08,3.43851,-2.97689,0.728956,3034360.0,4.99875,0.143612
0.080,1.50E+08,3.44599,-2.92422,0.728956,3218780.0,5.00403,0.147423
0.085,1.50E+08,3.45266,-2.87545,0.728956,3394840.0,5.00828,0.151217
0.090,1.50E+08,3.45869,-2.82935,0.728956,3561760.0,5.01113,0.155092
0.095,1.50E+08,3.46401,-2.78667,0.728955,3720980.0,5.01319,0.158965
0.100,1.50E+08,3.46871,-2.74702,0.728955,3873050.0,5.0146,0.162829
0.110,1.50E+08,3.47685,-2.67424,0.728954,4157420.0,5.0158,0.170542
0.120,1.50E+08,3.48386,-2.60804,0.728953,4418530.0,5.01544,0.178198
0.130,1.50E+08,3.4898,-2.548,0.728952,4659050.0,5.0139,0.185805
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 2.00E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,2.00E+08,3.37118,-3.39452,0.728956,2204940.0,5.01237,0.121069
0.060,2.00E+08,3.38954,-3.30225,0.728956,2449240.0,5.03133,0.123722
0.065,2.00E+08,3.40448,-3.22271,0.728956,2685830.0,5.0463,0.126573
0.070,2.00E+08,3.41713,-3.15194,0.728956,2913700.0,5.05832,0.129545
0.075,2.00E+08,3.42831,-3.08643,0.728956,3131850.0,5.06747,0.132687
0.080,2.00E+08,3.43747,-3.02762,0.728956,3338450.0,5.07337,0.136112
0.085,2.00E+08,3.4451,-2.97506,0.728955,3534850.0,5.07764,0.139612
0.090,2.00E+08,3.45191,-2.92574,0.728954,3720950.0,5.08037,0.143208
0.095,2.00E+08,3.45803,-2.87945,0.728953,3897670.0,5.08205,0.146849
0.100,2.00E+08,3.46346,-2.8362,0.728952,4065430.0,5.08282,0.150531
0.110,2.00E+08,3.47269,-2.75727,0.72895,4376110.0,5.08219,0.157992
0.120,2.00E+08,3.48043,-2.68597,0.728947,4657620.0,5.07962,0.165507
0.130,2.00E+08,3.48702,-2.62081,0.728944,4913240.0,5.07559,0.173065
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 2.50E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,2.50E+08,3.35499,-3.50079,0.728956,2192050.0,5.05388,0.115419
0.060,2.50E+08,3.37555,-3.40289,0.728956,2450210.0,5.07599,0.117521
0.065,2.50E+08,3.39252,-3.3177,0.728956,2703160.0,5.09345,0.119886
0.070,2.50E+08,3.40614,-3.24505,0.728956,2948850.0,5.10747,0.122418
0.075,2.50E+08,3.41789,-3.17847,0.728956,3185420.0,5.11786,0.125209
0.080,2.50E+08,3.42936,-3.11077,0.728955,3410080.0,5.12408,0.128392
0.085,2.50E+08,3.43857,-3.05136,0.728954,3622630.0,5.12781,0.131777
0.090,2.50E+08,3.44628,-2.99751,0.728952,3823080.0,5.12963,0.135313
0.095,2.50E+08,3.45314,-2.94712,0.728919,4012230.0,5.13017,0.138935
0.100,2.50E+08,3.45927,-2.89972,0.728922,4190410.0,5.12957,0.142643
0.110,2.50E+08,3.46959,-2.81324,0.728943,4516000.0,5.12574,0.150266
0.120,2.50E+08,3.47804,-2.73555,0.728938,4805580.0,5.11966,0.158051
0.130,2.50E+08,3.48514,-2.66488,0.728932,5064170.0,5.11215,0.165931
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 3.00E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,3.00E+08,3.33921,-3.59582,0.728956,2169650.0,5.08577,0.111258
0.060,3.00E+08,3.36212,-3.49095,0.728956,2437230.0,5.11035,0.112963
0.065,3.00E+08,3.38152,-3.39847,0.728956,2702170.0,5.13023,0.114915
0.070,3.00E+08,3.39689,-3.32065,0.728956,2961780.0,5.14608,0.117096
0.075,3.00E+08,3.40928,-3.25182,0.728956,3213110.0,5.15675,0.119726
0.080,3.00E+08,3.42115,-3.18219,0.728954,3452460.0,5.16264,0.122818
0.085,3.00E+08,3.43254,-3.11316,0.72895,3678370.0,5.16552,0.126178
0.090,3.00E+08,3.44152,-3.05279,0.728949,3890010.0,5.16589,0.129781
0.095,3.00E+08,3.44918,-2.99745,0.728856,4087960.0,5.16467,0.133525
0.100,3.00E+08,3.45599,-2.94544,0.728845,4272730.0,5.16217,0.137388
0.110,3.00E+08,3.46734,-2.8508,0.728934,4605440.0,5.15433,0.1454
0.120,3.00E+08,3.47647,-2.76647,0.728926,4895760.0,5.1443,0.153629
0.130,3.00E+08,3.48399,-2.69057,0.728917,5151160.0,5.13324,0.161953
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 3.50E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,3.50E+08,3.31904,-3.70056,0.728956,2144470.0,5.10983,0.108218
0.060,3.50E+08,3.35048,-3.56507,0.728956,2416740.0,5.1379,0.109436
0.065,3.50E+08,3.37061,-3.4718,0.728956,2690270.0,5.15991,0.111054
0.070,3.50E+08,3.38784,-3.38832,0.728956,2960660.0,5.17755,0.112929
0.075,3.50E+08,3.4023,-3.31122,0.728955,3224730.0,5.18822,0.115466
0.080,3.50E+08,3.41418,-3.24022,0.728952,3476530.0,5.19278,0.118628
0.085,3.50E+08,3.42679,-3.16507,0.728911,3713690.0,5.19443,0.122048
0.090,3.50E+08,3.43744,-3.09627,0.728944,3934280.0,5.19302,0.12579
0.095,3.50E+08,3.44601,-3.03513,0.728778,4138520.0,5.18967,0.129736
0.100,3.50E+08,3.45349,-2.97827,0.728934,4327250.0,5.18499,0.133826
0.110,3.50E+08,3.46579,-2.87561,0.728923,4662210.0,5.17292,0.142322
0.120,3.50E+08,3.47549,-2.78529,0.728895,4949720.0,5.15918,0.151021
0.130,3.50E+08,3.48332,-2.70507,0.728899,5199970.0,5.14507,0.15976
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 4.00E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.055,4.00E+08,3.30915,-3.7598,0.728956,2117950.0,5.12954,0.10579
0.060,4.00E+08,3.33601,-3.64551,0.728956,2392300.0,5.16048,0.106627
0.065,4.00E+08,3.36,-3.53869,0.728956,2671770.0,5.18438,0.107969
0.070,4.00E+08,3.37888,-3.45039,0.728956,2950250.0,5.20378,0.10957
0.075,4.00E+08,3.39552,-3.36455,0.728954,3225680.0,5.21445,0.112031
0.080,4.00E+08,3.40892,-3.2856,0.72895,3489120.0,5.21714,0.115347
0.085,4.00E+08,3.42148,-3.20872,0.728857,3735790.0,5.21683,0.11894
0.090,4.00E+08,3.43394,-3.13073,0.728939,3963820.0,5.2135,0.122858
0.095,4.00E+08,3.44351,-3.06336,0.728688,4172640.0,5.20787,0.127046
0.100,4.00E+08,3.45162,-3.0017,0.728824,4363590.0,5.20094,0.131391
0.110,4.00E+08,3.46474,-2.89176,0.72891,4698070.0,5.18488,0.140376
0.120,4.00E+08,3.47488,-2.79654,0.728815,4981600.0,5.16801,0.149492
0.130,4.00E+08,3.48295,-2.71309,0.72888,5226880.0,5.1516,0.158565
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 4.50E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.060,4.50E+08,3.31994,-3.72779,0.728956,2367330.0,5.17847,0.104442
0.065,4.50E+08,3.35012,-3.59883,0.728956,2649290.0,5.205,0.105436
0.070,4.50E+08,3.3698,-3.50892,0.728956,2933770.0,5.22598,0.106805
0.075,4.50E+08,3.3886,-3.41442,0.728953,3219380.0,5.23665,0.109204
0.080,4.50E+08,3.40451,-3.32347,0.728948,3494250.0,5.23735,0.112695
0.085,4.50E+08,3.41719,-3.24352,0.728796,3749520.0,5.23444,0.116552
0.090,4.50E+08,3.43099,-3.15811,0.728933,3983760.0,5.22907,0.120676
0.095,4.50E+08,3.44155,-3.08447,0.728587,4195960.0,5.22116,0.125117
0.100,4.50E+08,3.45024,-3.01833,0.728704,4388000.0,5.21207,0.129718
0.110,4.50E+08,3.46405,-2.90214,0.728897,4720670.0,5.19251,0.139147
0.120,4.50E+08,3.47452,-2.80317,0.728756,5000260.0,5.1732,0.148602
0.130,4.50E+08,3.48275,-2.71746,0.728861,5241560.0,5.15515,0.157918
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 5.00E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.060,5.00E+08,3.31108,-3.77852,0.728956,2341950.0,5.19375,0.102621
0.065,5.00E+08,3.33847,-3.66298,0.728956,2624720.0,5.22254,0.103328
0.070,5.00E+08,3.3608,-3.56396,0.728956,2913440.0,5.24501,0.104491
0.075,5.00E+08,3.38177,-3.4608,0.728953,3208180.0,5.25572,0.106833
0.080,5.00E+08,3.40041,-3.35689,0.728946,3494450.0,5.25438,0.110507
0.085,5.00E+08,3.41394,-3.27059,0.728875,3757970.0,5.24853,0.114678
0.090,5.00E+08,3.42846,-3.18008,0.728926,3997390.0,5.24093,0.119039
0.095,5.00E+08,3.44005,-3.1002,0.728479,4212090.0,5.23086,0.123727
0.100,5.00E+08,3.44925,-3.03006,0.728791,4404510.0,5.21982,0.128565
0.110,5.00E+08,3.46361,-2.90876,0.728882,4734900.0,5.19736,0.138372
0.120,5.00E+08,3.47431,-2.80705,0.728835,5011170.0,5.17623,0.148085
0.130,5.00E+08,3.48263,-2.71982,0.728841,5249540.0,5.15707,0.15757
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 5.50E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.060,5.50E+08,3.30202,-3.82818,0.728956,2316260.0,5.20717,0.101047
0.065,5.50E+08,3.32373,-3.73656,0.728956,2600150.0,5.23713,0.101607
0.070,5.50E+08,3.35213,-3.61511,0.728956,2890750.0,5.2615,0.102525
0.075,5.50E+08,3.37502,-3.50443,0.728951,3193630.0,5.27234,0.104808
0.080,5.50E+08,3.39637,-3.38753,0.728943,3491410.0,5.26885,0.108682
0.085,5.50E+08,3.41144,-3.29201,0.728804,3763060.0,5.25996,0.113178
0.090,5.50E+08,3.42635,-3.19759,0.728919,4006820.0,5.24998,0.117805
0.095,5.50E+08,3.4389,-3.11188,0.728364,4223380.0,5.23796,0.12272
0.100,5.50E+08,3.44854,-3.03828,0.728888,4415720.0,5.22522,0.127769
0.110,5.50E+08,3.46333,-2.91296,0.728868,4743880.0,5.20043,0.137885
0.120,5.50E+08,3.47419,-2.80929,0.728777,5017500.0,5.17798,0.147787
0.130,5.50E+08,3.48258,-2.7211,0.72882,5253890.0,5.1581,0.157382
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 6.00E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.065,6.00E+08,3.31484,-3.78461,0.728956,2575920.0,5.24963,0.100155
0.070,6.00E+08,3.34282,-3.66677,0.728956,2866810.0,5.27592,0.100838
0.075,6.00E+08,3.36824,-3.54624,0.728951,3176870.0,5.28701,0.103053
0.080,6.00E+08,3.39243,-3.41564,0.72894,3486280.0,5.28123,0.107143
0.085,6.00E+08,3.40942,-3.3095,0.728901,3766000.0,5.26936,0.11196
0.090,6.00E+08,3.42464,-3.21134,0.728912,4013440.0,5.25691,0.116869
0.095,6.00E+08,3.43803,-3.12053,0.728245,4231370.0,5.24315,0.121989
0.100,6.00E+08,3.44804,-3.04403,0.728749,4423470.0,5.22896,0.127219
0.110,6.00E+08,3.46315,-2.91561,0.728852,4749540.0,5.20236,0.137579
0.120,6.00E+08,3.47411,-2.8106,0.728721,5021230.0,5.179,0.147614
0.130,6.00E+08,3.48254,-2.72178,0.728799,5256290.0,5.15866,0.157281
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 6.50E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.065,6.50E+08,3.30722,-3.82624,0.728956,2551700.0,5.26078,0.0988777
0.070,6.50E+08,3.33068,-3.72781,0.728956,2842790.0,5.2884,0.0993995
0.075,6.50E+08,3.36146,-3.58643,0.728951,3158520.0,5.30011,0.10151
0.080,6.50E+08,3.38871,-3.4412,0.728937,3479890.0,5.29191,0.105834
0.085,6.50E+08,3.40773,-3.32402,0.728822,3767530.0,5.27711,0.110965
0.090,6.50E+08,3.4233,-3.22202,0.728904,4018160.0,5.26221,0.116158
0.095,6.50E+08,3.43739,-3.12692,0.728122,4237070.0,5.24695,0.121457
0.100,6.50E+08,3.44769,-3.04804,0.728867,4428780.0,5.23156,0.126839
0.110,6.50E+08,3.46304,-2.91728,0.728837,4753130.0,5.20357,0.137387
0.120,6.50E+08,3.47407,-2.81135,0.728796,5023420.0,5.17959,0.147513
0.130,6.50E+08,3.48253,-2.72215,0.728779,5257630.0,5.15896,0.157227
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 7.00E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.070,7.00E+08,3.32039,-3.77972,0.728956,2819520.0,5.29914,0.0981774
0.075,7.00E+08,3.35477,-3.62504,0.728942,3139110.0,5.31193,0.100138
0.080,7.00E+08,3.38524,-3.46439,0.728934,3472770.0,5.3012,0.104707
0.085,7.00E+08,3.40629,-3.33625,0.72874,3768160.0,5.28357,0.110143
0.090,7.00E+08,3.42225,-3.23032,0.728896,4021590.0,5.2663,0.115612
0.095,7.00E+08,3.4369,-3.13163,0.727997,4241180.0,5.24973,0.121068
0.100,7.00E+08,3.44745,-3.05081,0.72885,4432430.0,5.23336,0.126577
0.110,7.00E+08,3.46296,-2.91833,0.728822,4755420.0,5.20434,0.137265
0.120,7.00E+08,3.47405,-2.81179,0.728774,5024750.0,5.17993,0.147455
0.130,7.00E+08,3.48252,-2.72234,0.728758,5258400.0,5.15912,0.157198
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 7.50E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.070,7.50E+08,3.31307,-3.81862,0.728956,2796650.0,5.30874,0.0970991
0.075,7.50E+08,3.34785,-3.6635,0.728903,3118930.0,5.32271,0.0989028
0.080,7.50E+08,3.38201,-3.48544,0.728931,3465300.0,5.30935,0.10373
0.085,7.50E+08,3.40504,-3.34661,0.728844,3768240.0,5.28897,0.109461
0.090,7.50E+08,3.42144,-3.23667,0.728888,4024100.0,5.26943,0.115196
0.095,7.50E+08,3.43655,-3.13506,0.72787,4244130.0,5.25175,0.120788
0.100,7.50E+08,3.44727,-3.05276,0.728843,4435010.0,5.23461,0.126394
0.110,7.50E+08,3.46292,-2.919,0.728806,4756910.0,5.20483,0.137188
0.120,7.50E+08,3.47404,-2.81204,0.728752,5025550.0,5.18012,0.147422
0.130,7.50E+08,3.48251,-2.72244,0.728737,5258850.0,5.1592,0.157183
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 8.00E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.070,8.00E+08,3.3062,-3.85478,0.728956,2774070.0,5.31745,0.0961298
0.075,8.00E+08,3.34012,-3.70428,0.728949,3098260.0,5.33257,0.0977866
0.080,8.00E+08,3.37901,-3.50467,0.728928,3457690.0,5.31654,0.102875
0.085,8.00E+08,3.40397,-3.35543,0.728758,3767980.0,5.2935,0.108892
0.090,8.00E+08,3.42082,-3.2416,0.72888,4025970.0,5.27186,0.114874
0.095,8.00E+08,3.43629,-3.13759,0.727741,4246290.0,5.25323,0.120581
0.100,8.00E+08,3.44715,-3.05411,0.728825,4436800.0,5.23549,0.126267
0.110,8.00E+08,3.46289,-2.91941,0.728791,4757870.0,5.20513,0.13714
0.120,8.00E+08,3.47403,-2.81216,0.72873,5026000.0,5.18022,0.147405
0.130,8.00E+08,3.48251,-2.72248,0.728717,5259120.0,5.15924,0.157176
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 8.50E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.075,8.50E+08,3.33072,-3.75082,0.728947,3077550.0,5.34154,0.0967822
0.080,8.50E+08,3.37618,-3.52237,0.728925,3450120.0,5.32294,0.10212
0.085,8.50E+08,3.40304,-3.36295,0.728869,3767540.0,5.29729,0.108417
0.090,8.50E+08,3.42033,-3.24543,0.728872,4027390.0,5.27375,0.114625
0.095,8.50E+08,3.43609,-3.13946,0.727612,4247880.0,5.25432,0.12043
0.100,8.50E+08,3.44707,-3.05506,0.728818,4438090.0,5.2361,0.126178
0.110,8.50E+08,3.46287,-2.91968,0.728775,4758510.0,5.20532,0.13711
0.120,8.50E+08,3.47403,-2.81222,0.728734,5026310.0,5.18027,0.147397
0.130,8.50E+08,3.48251,-2.72249,0.728696,5259270.0,5.15925,0.157175
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 9.00E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.075,9.00E+08,3.32227,-3.79281,0.728948,3057060.0,5.34971,0.0958762
0.080,9.00E+08,3.37352,-3.53875,0.728922,3442680.0,5.32866,0.101449
0.085,9.00E+08,3.40223,-3.36937,0.728779,3766990.0,5.30049,0.108019
0.090,9.00E+08,3.41995,-3.24841,0.728863,4028480.0,5.27523,0.11443
0.095,9.00E+08,3.43595,-3.14084,0.727481,4249070.0,5.25513,0.120318
0.100,9.00E+08,3.44701,-3.05569,0.7288,4438960.0,5.23651,0.126119
0.110,9.00E+08,3.46286,-2.91981,0.72876,4758900.0,5.20543,0.137094
0.120,9.00E+08,3.47403,-2.81225,0.728712,5026470.0,5.1803,0.147392
0.130,9.00E+08,3.48251,-2.72249,0.728675,5259390.0,5.15925,0.157174
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 9.50E+08
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.075,9.50E+08,3.31565,-3.82688,0.728949,3036470.0,5.35732,0.0950393
0.080,9.50E+08,3.37101,-3.55393,0.728919,3435440.0,5.33381,0.10085
0.085,9.50E+08,3.40154,-3.37485,0.728689,3766420.0,5.30318,0.107685
0.090,9.50E+08,3.41967,-3.25065,0.728855,4029300.0,5.27634,0.114284
0.095,9.50E+08,3.43584,-3.14186,0.727351,4249960.0,5.25572,0.120236
0.100,9.50E+08,3.44698,-3.0561,0.728793,4439560.0,5.23677,0.12608
0.110,9.50E+08,3.46286,-2.91988,0.728744,4759140.0,5.20548,0.137085
0.120,9.50E+08,3.47403,-2.81227,0.72869,5026570.0,5.18031,0.14739
0.130,9.50E+08,3.48251,-2.72249,0.728654,5259500.0,5.15925,0.157175
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.00E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.075,1.00E+09,3.30957,-3.85842,0.728947,3015670.0,5.36451,0.094256
0.080,1.00E+09,3.36864,-3.56805,0.728916,3428430.0,5.33846,0.100311
0.085,1.00E+09,3.40093,-3.37952,0.728803,3765860.0,5.30544,0.107405
0.090,1.00E+09,3.41945,-3.25239,0.728846,4029940.0,5.2772,0.11417
0.095,1.00E+09,3.43577,-3.14261,0.727219,4250620.0,5.25616,0.120176
0.100,1.00E+09,3.44695,-3.05638,0.728775,4439980.0,5.23695,0.126054
0.110,1.00E+09,3.46286,-2.91993,0.728729,4759320.0,5.20551,0.13708
0.120,1.00E+09,3.47403,-2.81227,0.728668,5026730.0,5.18032,0.147389
0.130,1.00E+09,3.48251,-2.72248,0.728634,5259600.0,5.15924,0.157175
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 1.50E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.080,1.50E+09,3.35075,-3.66939,0.728257,3372510.0,5.36825,0.0969293
0.085,1.50E+09,3.39802,-3.40133,0.728816,3762550.0,5.31561,0.106155
0.090,1.50E+09,3.41876,-3.25798,0.728759,4032320.0,5.28001,0.113802
0.095,1.50E+09,3.4356,-3.14423,0.725903,4252600.0,5.25712,0.120042
0.100,1.50E+09,3.44691,-3.05691,0.728659,4441450.0,5.23732,0.126
0.110,1.50E+09,3.46287,-2.91991,0.728475,4760050.0,5.20552,0.137078
0.120,1.50E+09,3.47404,-2.81219,0.728496,5027630.0,5.18028,0.147396
0.130,1.50E+09,3.48252,-2.72239,0.728426,5260530.0,5.15919,0.157185
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 2.00E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.080,2.00E+09,3.33815,-3.73511,0.727518,3335810.0,5.38354,0.0952377
0.085,2.00E+09,3.39744,-3.40559,0.728751,3762100.0,5.31753,0.10592
0.090,2.00E+09,3.41871,-3.25837,0.728672,4033000.0,5.28023,0.113773
0.095,2.00E+09,3.43561,-3.14419,0.724587,4253250.0,5.25713,0.120042
0.100,2.00E+09,3.44693,-3.05682,0.728534,4442120.0,5.23729,0.126006
0.110,2.00E+09,3.46288,-2.9198,0.728417,4760970.0,5.20547,0.137086
0.120,2.00E+09,3.47405,-2.81209,0.728313,5028460.0,5.18023,0.147405
0.130,2.00E+09,3.48253,-2.72229,0.728218,5261440.0,5.15913,0.157195
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 2.50E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.080,2.50E+09,3.3286,-3.78204,0.726768,3312230.0,5.39228,0.0942841
0.085,2.50E+09,3.39735,-3.40631,0.728685,3762380.0,5.31787,0.105879
0.090,2.50E+09,3.41873,-3.25829,0.728585,4033540.0,5.28021,0.113776
0.095,2.50E+09,3.43563,-3.14407,0.723277,4253840.0,5.25708,0.120048
0.100,2.50E+09,3.44694,-3.05671,0.728409,4442760.0,5.23724,0.126012
0.110,2.50E+09,3.46289,-2.9197,0.728229,4761700.0,5.20542,0.137094
0.120,2.50E+09,3.47406,-2.81199,0.72813,5029290.0,5.18017,0.147414
0.130,2.50E+09,3.48255,-2.72219,0.728011,5262350.0,5.15907,0.157206
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 3.00E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.080,3.00E+09,3.32261,-3.81167,0.726015,3295920.0,5.39795,0.0936707
0.085,3.00E+09,3.39735,-3.40634,0.728619,3762800.0,5.3179,0.105875
0.090,3.00E+09,3.41879,-3.2579,0.728497,4033990.0,5.28004,0.113798
0.095,3.00E+09,3.43565,-3.14395,0.72197,4254430.0,5.25704,0.120054
0.100,3.00E+09,3.44696,-3.05659,0.728284,4443400.0,5.23719,0.126019
0.110,3.00E+09,3.46291,-2.9196,0.728106,4762460.0,5.20537,0.137102
0.120,3.00E+09,3.47407,-2.81189,0.727947,5030120.0,5.18012,0.147423
0.130,3.00E+09,3.48256,-2.72209,0.727803,5263250.0,5.15901,0.157217
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 3.50E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.080,3.50E+09,3.31834,-3.8332,0.72526,3282470.0,5.40242,0.0931899
0.085,3.50E+09,3.39737,-3.40623,0.728553,3763260.0,5.31787,0.105878
0.090,3.50E+09,3.41881,-3.25773,0.72841,4034500.0,5.27998,0.113806
0.095,3.50E+09,3.43567,-3.14383,0.720668,4255010.0,5.257,0.12006
0.100,3.50E+09,3.44698,-3.05648,0.728159,4444040.0,5.23714,0.126027
0.110,3.50E+09,3.46292,-2.91949,0.727852,4762840.0,5.20532,0.13711
0.120,3.50E+09,3.47408,-2.81178,0.727764,5030940.0,5.18006,0.147433
0.130,3.50E+09,3.48257,-2.72198,0.727595,5264140.0,5.15895,0.157228
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 4.00E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.080,4.00E+09,3.31462,-3.85214,0.728635,3269840.0,5.40647,0.0927568
0.085,4.00E+09,3.39739,-3.40611,0.728488,3763720.0,5.31784,0.105882
0.090,4.00E+09,3.41884,-3.25759,0.728322,4035020.0,5.27994,0.113811
0.095,4.00E+09,3.43569,-3.14371,0.71937,4255600.0,5.25695,0.120066
0.100,4.00E+09,3.44699,-3.05637,0.728034,4444680.0,5.2371,0.126034
0.110,4.00E+09,3.46293,-2.91939,0.727794,4763930.0,5.20527,0.137119
0.120,4.00E+09,3.4741,-2.81168,0.727581,5031760.0,5.18001,0.147442
0.130,4.00E+09,3.48258,-2.72188,0.727387,5265030.0,5.15889,0.157239
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 4.50E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.080,4.50E+09,3.31093,-3.87089,0.727871,3256880.0,5.41047,0.0923305
0.085,4.50E+09,3.39741,-3.40597,0.728422,3764190.0,5.3178,0.105887
0.090,4.50E+09,3.41886,-3.25746,0.728235,4035550.0,5.2799,0.113816
0.095,4.50E+09,3.43571,-3.14358,0.718077,4256180.0,5.25691,0.120072
0.100,4.50E+09,3.44701,-3.05625,0.727909,4445330.0,5.23705,0.126041
0.110,4.50E+09,3.46295,-2.91928,0.72754,4764480.0,5.20521,0.137127
0.120,4.50E+09,3.47411,-2.81158,0.727398,5032590.0,5.17995,0.147452
0.130,4.50E+09,3.48259,-2.72177,0.72718,5265910.0,5.15882,0.157251
# -------------------------------------------------------------------------------------------------------------- 
# Age (yr) = 5.00E+09
# -------------------------------------------------------------------------------------------------------------- 
# Mass,Age,log(Teff),log(L/Lsun),Xc,Tc,logg,R/Rsun
0.080,5.00E+09,3.30688,-3.89134,0.727107,3242560.0,5.41473,0.0918788
